ruler,regnalyear,jyear,1,2,3,4,5,6,7,8,9,10,11,12,13
XERXES,4,-482,4/3,5/3,6/1,7/1,7/30,8/29,9/28,10/27,11/25,12/25,1/23,2/22
XERXES,5,-481,3/23,4/21,5/20,6/19,7/19,8/17,9/16,10/15,11/14,12/13,1/12,2/10,3/12
XERXES,6,-480,4/11,5/10,6/8,7/8,8/7,9/5,10/5,11/3,12/3,1/1,1/31,3/1
XERXES,7,-479,3/31,4/29,5/29,6/27,7/27,8/26,9/24,10/24,11/22,12/22,1/20,2/19,3/20
XERXES,8,-478,4/19,5/18,6/17,7/16,8/15,9/14,10/13,11/12,12/11,1/10,2/8,3/9
XERXES,9,-477,4/8,5/7,6/5,7/5,8/3,9/2,10/1,10/31,11/29,12/29,1/27,2/26
XERXES,10,-476,3/28,4/26,5/25,6/24,7/24,8/22,9/21,10/20,11/19,12/18,1/17,2/15,3/17
XERXES,11,-475,4/15,5/15,6/13,7/13,8/11,9/10,10/10,11/8,12/8,1/6,2/5,3/6
XERXES,12,-474,4/5,5/4,6/3,7/2,8/1,8/31,9/29,10/29,11/27,12/26,1/25,2/23,3/24
XERXES,13,-473,4/22,5/22,6/21,7/20,8/19,9/17,10/17,11/15,12/15,1/13,2/12,3/13
XERXES,14,-472,4/12,5/12,6/10,7/10,8/9,9/7,10/7,11/6,12/5,1/4,2/2,3/3
XERXES,15,-471,4/2,5/1,5/30,6/29,7/29,8/27,9/26,10/25,11/24,12/23,1/22,2/20,3/22
XERXES,16,-470,4/21,5/20,6/19,7/18,8/17,9/15,10/15,11/13,12/13,1/11,2/10,3/10
XERXES,17,-469,4/9,5/8,6/7,7/6,8/5,9/4,10/3,11/2,12/1,12/31,1/29,2/28
XERXES,18,-468,3/29,4/28,5/27,6/26,7/25,8/24,9/23,10/22,11/20,12/20,1/18,2/17,8/18
XERXES,19,-467,4/17,5/16,6/15,7/15,8/13,9/12,10/11,11/10,12/9,1/8,2/6,3/8
XERXES,20,-466,4/6,5/6,6/4,7/4,8/3,9/1,10/1,10/30,11/29,12/28,1/27,2/25
XERXES,21,-465,3/25,4/24,5/24,6/22,7/22,8/20,9/19,10/19,11/17,12/17,1/15,2/13,3/15
ARTAXERXES I,1,-464,4/13,5/13,6/12,7/11,8/10,9/9,10/8,11/7,12/6,1/4,2/3,3/4
ARTAXERXES I,2,-463,4/3,5/3,6/1,7/1,7/30,8/29,9/28,10/27,11/25,12/25,1/23,2/22,3/24
ARTAXERXES I,3,-462,4/22,5/21,6/20,7/20,8/18,9/17,10/16,11/15,12/14,1/13,2/11,3/12
ARTAXERXES I,4,-461,4/11,5/10,6/8,7/8,8/7,9/5,10/5,11/3,12/3,1/1,1/31,3/1
ARTAXERXES I,5,-460,3/31,4/30,5/29,6/27,7/27,8/25,9/24,10/23,11/22,12/22,1/20,2/19,8/20
ARTAXERXES I,6,-459,4/19,5/18,6/17,7/16,8/15,9/13,10/13,11/11,12/11,1/10,2/8,3/9
ARTAXERXES I,7,-458,4/8,5/7,6/6,7/6,8/4,9/3,10/2,11/1,11/30,12/30,1/28,2/27
ARTAXERXES I,8,-457,3/27,4/26,5/25,6/24,7/24,8/22,9/21,10/20,11/19,12/18,1/17,2/15,3/16
ARTAXERXES I,9,-456,4/15,5/15,6/13,7/13,8/11,9/10,10/10,11/8,12/8,1/6,2/4,3/6
ARTAXERXES I,10,-455,4/4,5/4,6/3,7/2,8/1,8/30,9/29,10/29,11/27,12/27,1/25,2/23,3/25
ARTAXERXES I,11,-454,4/23,5/23,6/22,7/21,8/20,9/18,10/18,11/16,12/16,1/14,2/13,3/13
ARTAXERXES I,12,-453,4/12,5/11,6/10,7/9,8/8,9/7,10/6,11/5,12/4,1/3,2/1,3/3
ARTAXERXES I,13,-452,4/2,5/1,5/30,6/29,7/28,8/27,9/26,10/25,11/24,12/23,1/21,2/20,3/21
ARTAXERXES I,14,-451,4/20,5/20,6/18,7/18,8/16,9/15,10/14,11/13,12/13,1/11,2/9,3/11
ARTAXERXES I,15,-450,4/10,5/9,6/8,7/7,8/6,9/4,10/4,11/2,12/2,12/31,1/30,2/28
ARTAXERXES I,16,-449,3/29,4/27,5/27,6/26,7/25,8/24,9/22,10/22,11/20,12/20,1/18,2/17,8/18
ARTAXERXES I,17,-448,4/16,5/16,6/14,7/14,8/12,9/11,10/11,11/9,12/8,1/7,2/5,3/7
ARTAXERXES I,18,-447,4/6,5/5,6/3,7/3,8/2,8/31,9/30,10/29,11/28,12/27,1/26,2/24
ARTAXERXES I,19,-446,3/26,4/24,5/24,6/23,7/22,8/21,9/19,10/19,11/17,12/17,1/15,2/14,3/14
ARTAXERXES I,20,-445,4/13,5/12,6/11,7/10,8/9,9/8,10/7,11/6,12/5,1/4,2/2,3/4
ARTAXERXES I,21,-444,4/3,5/2,5/31,6/30,7/29,8/28,9/27,10/26,11/25,12/25,1/23,2/22,8/28
ARTAXERXES I,22,-443,4/22,5/21,6/20,7/19,8/17,9/16,10/15,11/14,12/14,1/12,2/11,3/13
ARTAXERXES I,23,-442,4/11,5/11,6/9,7/9,8/7,9/5,10/5,11/3,12/3,1/1,1/31,3/1
ARTAXERXES I,24,-441,3/31,4/29,5/29,6/27,7/27,8/25,9/23,10/23,11/21,12/21,1/19,2/17,8/19
ARTAXERXES I,25,-440,4/18,5/17,6/16,7/15,8/14,9/13,10/12,11/11,12/10,1/8,2/7,3/8
ARTAXERXES I,26,-439,4/7,5/7,6/5,7/5,8/3,9/2,10/2,10/31,11/29,12/29,1/27,2/26
ARTAXERXES I,27,-438,3/28,4/26,5/25,6/24,7/24,8/22,9/21,10/20,11/19,12/18,1/17,2/15,3/16
ARTAXERXES I,28,-437,4/14,5/14,6/12,7/12,8/11,9/9,10/9,11/8,12/8,1/6,2/5,3/6
ARTAXERXES I,29,-436,4/4,5/3,6/2,7/1,7/31,8/29,9/28,10/28,11/27,12/27,1/25,2/24,3/25
ARTAXERXES I,30,-435,4/23,5/22,6/21,7/20,8/19,9/17,10/17,11/16,12/15,1/14,2/13,3/14
ARTAXERXES I,31,-434,4/13,5/12,6/10,7/10,8/8,9/7,10/6,11/5,12/5,1/3,2/2,3/3
ARTAXERXES I,32,-433,4/1,5/1,5/30,6/28,7/28,8/26,9/25,10/24,11/23,12/22,1/21,2/20,3/21
ARTAXERXES I,33,-432,4/20,5/19,6/17,7/17,8/15,9/14,10/14,11/12,12/12,1/10,2/9,3/10
ARTAXERXES I,34,-431,4/9,5/9,6/7,7/6,8/5,9/3,10/3,11/2,12/1,12/31,1/29,2/27
ARTAXERXES I,35,-430,3/29,4/27,5/27,6/26,7/25,8/24,9/22,10/22,11/20,12/20,1/18,2/17,3/17
ARTAXERXES I,36,-429,4/16,5/15,6/14,7/13,8/12,9/11,10/10,11/9,12/8,1/7,2/5,3/7
ARTAXERXES I,37,-428,4/5,5/5,6/3,7/3,8/2,9/1,9/30,10/30,11/29,12/28,1/26,2/25
ARTAXERXES I,38,-427,3/26,4/24,5/24,6/22,7/22,8/20,9/19,10/19,11/17,12/17,1/16,2/14,3/16
ARTAXERXES I,39,-426,4/14,5/13,6/12,7/11,8/10,9/8,10/8,11/7,12/6,1/5,2/4,3/4
ARTAXERXES I,40,-425,4/3,5/2,6/1,6/30,7/29,8/28,9/26,10/26,11/24,12/24,1/23,2/21,3/23
ARTAXERXES I,41,-424,4/22,5/21,6/20,7/19,8/17,9/16,10/15,11/14,12/13,1/12,2/10,3/12
DARIUS II,1,-423,4/11,5/11,6/9,7/9,8/7,9/5,10/5,11/3,12/3,1/1,1/31,3/1
DARIUS II,2,-422,3/31,4/30,5/29,6/28,7/28,8/26,9/24,10/24,11/22,12/21,1/20,2/18,3/19
DARIUS II,3,-421,4/18,5/17,6/16,7/15,8/14,9/12,10/12,11/10,12/10,1/8,2/6,3/8
DARIUS II,4,-420,4/7,5/6,6/5,7/4,8/3,9/2,10/1,10/31,11/29,12/29,1/27,2/25
DARIUS II,5,-419,3/27,4/26,5/25,6/24,7/23,8/22,9/21,10/20,11/19,12/18,1/16,2/15,3/16
DARIUS II,6,-418,4/15,5/14,6/13,7/13,8/11,9/10,10/10,11/8,12/8,1/7,2/5,3/6
DARIUS II,7,-417,4/4,5/3,6/2,7/1,7/31,8/29,9/28,10/28,11/26,12/26,1/25,2/23,3/25
DARIUS II,8,-416,4/23,5/22,6/21,7/20,8/18,9/17,10/17,11/15,12/15,1/14,2/12,3/14
DARIUS II,9,-415,4/13,5/12,6/10,7/10,8/8,9/7,10/6,11/5,12/4,1/3,2/1,3/3
DARIUS II,10,-414,4/2,5/1,5/30,6/29,7/28,8/27,9/25,10/25,11/23,12/23,1/21,2/20,3/20
DARIUS II,11,-413,4/19,5/18,6/17,7/17,8/15,9/14,10/13,11/12,12/11,1/10,2/8,3/10
DARIUS II,12,-412,4/8,5/8,6/6,7/6,8/5,9/3,10/3,11/1,12/1,12/30,1/29,2/27
DARIUS II,13,-411,3/29,4/27,5/27,6/25,7/25,8/24,9/22,10/22,11/20,12/20,1/18,2/17,3/18
